"English string";"Deutscher Satzbaustein"
"Terms & Conditions";"Teilnahmebedingungen"
"This promotion is not associated to Facebook and is not promoted, supported or organized by Facebook. Please check the %s for further details";"Dieser Wettbewerb steht in keiner Verbindung zu Facebook und wird in keiner Weise von Facebook gesponsert, unterstützt oder organisiert. Bitte lesen Sie die %s für weitere Details."
